Name,Name(Ukranian),Oblast,Population,Population(2001),Population_Change,Country,Full_address,Geocoded_adress,Point,Latitude,Longitude,Altitude
Uzhhorod,Ужгород,Zakarpattia,115542,117317,−1.51%,ukraine,"Ужгород,ukraine","Ужгород, Ужгородська міська громада, Ужгородський район, Закарпатська область, Україна","(48.6223732, 22.3022569, 0.0)",48.6223732,22.3022569,0.0
Brovary,Бровари,Kyiv,109473,86839,+26.06%,ukraine,"Бровари,ukraine","Бровари, Броварська міська громада, Броварський район, Київська область, 07400, Україна","(50.5111168, 30.7900482, 0.0)",50.5111168,30.7900482,0.0
Yevpatoria[b],Євпаторія,Crimea,108149,105915,+2.11%,ukraine,"Євпаторія,ukraine","Евпатория, Евпаторийский городской совет, Республика Крым, Україна","(45.1996929, 33.36912905819992, 0.0)",45.1996929,33.36912905819992,0.0
Berdiansk,Бердянськ,Zaporizhzhia,107928,121692,−11.31%,ukraine,"Бердянськ,ukraine","Бердянськ, Бердянська міська громада, Бердянський район, Запорізька область, 71100-71127, Україна","(46.755678, 36.7887623, 0.0)",46.755678,36.7887623,0.0
Nikopol,Нікополь,Dnipropetrovsk,107464,136280,−21.14%,ukraine,"Нікополь,ukraine","Нікополь, Нікопольська міська громада, Нікопольський район, Дніпропетровська область, 53200-53239, Україна","(47.5692061, 34.3917272, 0.0)",47.5692061,34.3917272,0.0
Sloviansk,Слов'янськ,Donetsk,106972,124829,−14.31%,ukraine,"Слов'янськ,ukraine","Слов’янськ, Слов'янська міська громада, Краматорський район, Донецька область, 84100-84129, Україна","(48.8522691, 37.6058241, 0.0)",48.8522691,37.6058241,0.0
Alchevsk[c],Алчевськ,Luhansk,106550,119193,−10.61%,ukraine,"Алчевськ,ukraine","Алчевськ, Луганська область, Україна","(48.4696662, 38.7993994, 0.0)",48.4696662,38.7993994,0.0
Pavlohrad,Павлоград,Dnipropetrovsk,103073,118816,−13.25%,ukraine,"Павлоград,ukraine","Павлоград, Павлоградська міська громада, Павлоградський район, Дніпропетровська область, 51400-51429, Україна","(48.5317201, 35.8703535, 0.0)",48.5317201,35.8703535,0.0
Sievierodonetsk,Сєвєродонецьк,Luhansk,101135,119940,−15.68%,ukraine,"Сєвєродонецьк,ukraine","Сєвєродонецьк, Сєвєродонецька міська громада, Сєвєродонецький район, Луганська область, 93400-93480, Україна","(48.9477095, 38.4936024, 0.0)",48.9477095,38.4936024,0.0
Kamianets-Podilskyi,Кам'янець-Подільський,Khmelnytskyi,97908,99610,−1.71%,ukraine,"Кам'янець-Подільський,ukraine","Кам’янець-Подільський, Кам'янець-Подільська міська громада, Кам’янець-Подільський район, Хмельницька область, Україна","(48.6784597, 26.5852225, 0.0)",48.6784597,26.5852225,0.0
Lysychansk,Лисичанськ,Luhansk,95031,115229,−17.53%,ukraine,"Лисичанськ,ukraine","Лисичанськ, Лисичанська міська громада, Сєвєродонецький район, Луганська область, 93100, Україна","(48.917267, 38.4285981, 0.0)",48.917267,38.4285981,0.0
Mukachevo,Мукачево,Zakarpattia,85903,82346,+4.32%,ukraine,"Мукачево,ukraine","Мукачево, Мукачівська міська громада, Мукачівський район, Закарпатська область, Україна","(48.4421438, 22.7185112, 0.0)",48.4421438,22.7185112,0.0
Konotop,Конотоп,Sumy,84787,92657,−8.49%,ukraine,"Конотоп,ukraine","Конотоп, Конотопська міська громада, Конотопський район, Сумська область, 41600-41615, Україна","(51.2397495, 33.206675, 0.0)",51.2397495,33.206675,0.0
Uman,Умань,Cherkasy,82154,88735,−7.42%,ukraine,"Умань,ukraine","Умань, Уманська міська громада, Уманський район, Черкаська область, 20300-20319, Україна","(48.7497621, 30.2203052, 0.0)",48.7497621,30.2203052,0.0
Krasnyi Luch,Хрустальний (Khrustalnyi),Luhansk,79764,94875,−15.93%,ukraine,"Хрустальний (Khrustalnyi),ukraine","Хрустальний, Луганська область, 94518, Україна","(48.1790971, 38.8818684, 0.0)",48.1790971,38.8818684,0.0
Yalta[b],Ялта,Crimea,78171,81654,−4.27%,ukraine,"Ялта,ukraine","Ялта, Ялтинский городской совет, Республика Крым, Україна","(44.4970713, 34.1586871, 0.0)",44.4970713,34.1586871,0.0
Oleksandriia,Олександрія,Kirovohrad,77303,93357,−17.20%,ukraine,"Олександрія,ukraine","Олександрія, Олександрійська міська громада, Олександрійський район, Кіровоградська область, 28000-28019, Україна","(48.670609, 33.1169742, 0.0)",48.670609,33.1169742,0.0
Yenakiieve[a],Єнакієве,Donetsk,77053,103997,−25.91%,ukraine,"Єнакієве,ukraine","Єнакієве, Єнакієвська міська рада, Донецька область, 86400-86470, Україна","(48.2305107, 38.185045, 0.0)",48.2305107,38.185045,0.0
Drohobych,Дрогобич,Lviv,74610,79119,−5.70%,ukraine,"Дрогобич,ukraine","Дрогобич, Дрогобицька міська громада, Дрогобицький район, Львівська область, Україна","(49.3513996, 23.5061662, 0.0)",49.3513996,23.5061662,0.0
Berdychiv,Бердичів,Zhytomyr,73999,87575,−15.50%,ukraine,"Бердичів,ukraine","Бердичів, Бердичівська міська громада, Бердичівський район, Житомирська область, Україна","(49.8940442, 28.5814912, 0.0)",49.8940442,28.5814912,0.0
Stakhanov[c],Кадіївка (Kadiivka),Luhansk,73702,90152,−18.25%,ukraine,"Кадіївка (Kadiivka),ukraine","Кадіївка, О-232001, Волудринці, Ярмолинецька селищна громада, Хмельницький район, Хмельницька область, 32112, Україна","(49.2397059, 26.7839072, 0.0)",49.2397059,26.7839072,0.0
Shostka,Шостка,Sumy,73197,87130,−15.99%,ukraine,"Шостка,ukraine","Шостка, Шосткинська міська громада, Шосткинський район, Сумська область, 41100, Україна","(51.8643223, 33.4728213, 0.0)",51.8643223,33.4728213,0.0
Bakhmut,Бахмут,Donetsk,72310,82916,−12.79%,ukraine,"Бахмут,ukraine","Бахмут, Бахмутська міська громада, Бахмутський район, Донецька область, 84500-84510, Україна","(48.5915754, 37.9837099, 0.0)",48.5915754,37.9837099,0.0
Izmail,Ізмаїл,Odessa,70731,84815,−16.61%,ukraine,"Ізмаїл,ukraine","Ізмаїл, Ізмаїльська міська громада, Ізмаїльський район, Одеська область, 68600-68633, Україна","(45.3511307, 28.8361514, 0.0)",45.3511307,28.8361514,0.0
Novomoskovsk,Новомосковськ,Dnipropetrovsk,70230,72439,−3.05%,ukraine,"Новомосковськ,ukraine","Новомосковськ, Новомосковська міська громада, Новомосковський район, Дніпропетровська область, 51200-51214, Україна","(48.6358512, 35.2595541, 0.0)",48.6358512,35.2595541,0.0
Kostiantynivka,Костянтинівка,Donetsk,68792,95111,−27.67%,ukraine,"Костянтинівка,ukraine","Костянтинівка, Костянтинівська міська громада, Краматорський район, 85100-85129, Україна","(48.534859, 37.6923705, 0.0)",48.534859,37.6923705,0.0
Kovel,Ковель,Volyn,67991,66401,+2.39%,ukraine,"Ковель,ukraine","Ковель, Ковельська міська громада, Ковельський район, Волинська область, 45000-45014, Україна","(51.2120538, 24.708894, 0.0)",51.2120538,24.708894,0.0
Feodosia[b],Феодосія,Crimea,67750,74669,−9.27%,ukraine,"Феодосія,ukraine","Феодосия, Феодосийский городской совет, Республика Крым, 298100-298175, Україна","(45.033669, 35.3753628, 0.0)",45.033669,35.3753628,0.0
Nizhyn,Ніжин,Chernihiv,66983,76625,−12.58%,ukraine,"Ніжин,ukraine","Ніжин, Ніжинська міська громада, Ніжинський район, Чернігівська область, 16600, Україна","(51.0464747, 31.8806289, 0.0)",51.0464747,31.8806289,0.0
Smila,Сміла,Cherkasy,66475,69681,−4.60%,ukraine,"Сміла,ukraine","Сміла, Смілянська міська громада, Черкаський район, Черкаська область, 20700, Україна","(49.2336897, 31.8829216, 0.0)",49.2336897,31.8829216,0.0
Kalush,Калуш,Ivano-Frankivsk,65814,67902,−3.08%,ukraine,"Калуш,ukraine","Калуш, Калуська міська громада, Калуський район, Івано-Франківська область, Україна","(49.028894, 24.3613198, 0.0)",49.028894,24.3613198,0.0
Chervonohrad,Червоноград,Lviv,65180,70568,−7.64%,ukraine,"Червоноград,ukraine","Червоноград, Червоноградська міська громада, Червоноградський район, Львівська область, Україна","(50.3940701, 24.239616, 0.0)",50.3940701,24.239616,0.0
Boryspil,Бориспіль,Kyiv,63674,53975,+17.97%,ukraine,"Бориспіль,ukraine","Бориспіль, Бориспільська міська громада, Бориспільський район, Київська область, 08300-08307, Україна","(50.3512101, 30.95077, 0.0)",50.3512101,30.95077,0.0
Pervomaisk,Первомайськ,Mykolaiv,63377,70170,−9.68%,ukraine,"Первомайськ,ukraine","Первомайськ, Первомайська міська громада, Первомайський район, Миколаївська область, 55200-55219, Україна","(48.03579065, 30.864088395090185, 0.0)",48.03579065,30.864088395090185,0.0
Sverdlovsk[c],Довжанськ (Dovzhansk),Luhansk,62993,72531,−13.15%,ukraine,"Довжанськ (Dovzhansk),ukraine",,,,,
Irpin,Ірпінь,Kyiv,62456,40593,+53.86%,ukraine,"Ірпінь,ukraine","Ірпінь, Ірпінська міська громада, Бучанський район, Київська область, 08200-08289, Україна","(50.5206777, 30.2448725, 0.0)",50.5206777,30.2448725,0.0
Korosten,Коростень,Zhytomyr,62285,66669,−6.58%,ukraine,"Коростень,ukraine","Коростень, Коростенська міська громада, Коростенський район, Житомирська область, Україна","(50.959409699999995, 28.633106718838626, 0.0)",50.959409699999995,28.633106718838626,0.0
Pokrovsk,Покровськ,Donetsk,61161,69154,−11.56%,ukraine,"Покровськ,ukraine","Покровськ, Покровська міська громада, Покровський район, Донецька область, 85300-85309, Україна","(48.2771086, 37.1772482, 0.0)",48.2771086,37.1772482,0.0
Kolomyia,Коломия,Ivano-Frankivsk,61140,61989,−1.37%,ukraine,"Коломия,ukraine","Коломия, Коломийська міська громада, Коломийський район, Івано-Франківська область, Україна","(48.5259211, 25.0380538, 0.0)",48.5259211,25.0380538,0.0
Stryi,Стрий,Lviv,59608,62479,−4.60%,ukraine,"Стрий,ukraine","Стрий, Стрийська міська громада, Стрийський район, Львівська область, Україна","(49.255875, 23.8530863, 0.0)",49.255875,23.8530863,0.0
Chornomorsk,Чорноморськ,Odessa,58524,54151,+8.08%,ukraine,"Чорноморськ,ukraine","Чорноморськ, Чорноморська міська громада, Одеський район, Одеська область, 68000-68004, Україна","(46.3020943, 30.653466, 0.0)",46.3020943,30.653466,0.0
Khartsyzk[a],Харцизьк,Donetsk,56367,64175,−12.17%,ukraine,"Харцизьк,ukraine","Харцизьк, Харцизька міська рада, 86700-86780, Україна","(48.0339524, 38.149804, 0.0)",48.0339524,38.149804,0.0
Rubizhne,Рубіжне,Luhansk,56066,65322,−14.17%,ukraine,"Рубіжне,ukraine","Рубіжне, Рубіжанська міська громада, Сєвєродонецький район, Луганська область, Україна","(49.0222573, 38.3667937, 0.0)",49.0222573,38.3667937,0.0
Novohrad-Volynskyi,Новоград-Волинський,Zhytomyr,55463,56259,−1.41%,ukraine,"Новоград-Волинський,ukraine","Новоград-Волинський, Новоград-Волинська міська громада, Новоград-Волинський район, Житомирська область, Україна","(50.5917622, 27.6066973, 0.0)",50.5917622,27.6066973,0.0
Druzhkivka,Дружківка,Donetsk,55088,64557,−14.67%,ukraine,"Дружківка,ukraine","Дружківка, Дружківська міська громада, Краматорський район, 84200-84290, Україна","(48.6198614, 37.524945, 0.0)",48.6198614,37.524945,0.0
Lozova,Лозова,Kharkiv,54026,64041,−15.64%,ukraine,"Лозова,ukraine","Лозова, Лозівська міська громада, Лозівський район, Харківська область, Україна","(48.8842428, 36.3160254, 0.0)",48.8842428,36.3160254,0.0
Chystiakove[a],Чистякове,Donetsk,53725,72346,−25.74%,ukraine,"Чистякове,ukraine","Торез, Торезька міська рада, Донецька область, 86600-86690, Україна","(48.025858, 38.6187459, 0.0)",48.025858,38.6187459,0.0
Enerhodar,Енергодар,Zaporizhzhia,52887,56242,−5.97%,ukraine,"Енергодар,ukraine","Енергодар, Енергодарська міська громада, Василівський район, Запорізька область, 71500, Україна","(47.4970865, 34.6487214, 0.0)",47.4970865,34.6487214,0.0
Pryluky,Прилуки,Chernihiv,52553,64861,−18.98%,ukraine,"Прилуки,ukraine","Прилуки, Прилуцька міська громада, Прилуцький район, Чернігівська область, 17500-17511, Україна","(50.5950864, 32.3866658, 0.0)",50.5950864,32.3866658,0.0
Antratsyt[c],Антрацит,Luhansk,52353,63698,−17.81%,ukraine,"Антрацит,ukraine","Антрацит, Луганська область, 94600-94619, Україна","(48.1164285, 39.0886375, 0.0)",48.1164285,39.0886375,0.0
Novovolynsk,Нововолинськ,Volyn,50417,53838,−6.35%,ukraine,"Нововолинськ,ukraine","Нововолинськ, Нововолинська міська громада, Володимир-Волинський район, Волинська область, 45400-45489, Україна","(50.7224829, 24.1648399, 0.0)",50.7224829,24.1648399,0.0
Horishni Plavni,Горішні Плавні,Poltava,50414,51740,−2.56%,ukraine,"Горішні Плавні,ukraine","Горішні Плавні, Горішньоплавнівська міська громада, Кременчуцький район, Полтавська область, 39800-39890, Україна","(49.0140647, 33.6330875, 0.0)",49.0140647,33.6330875,0.0
Shakhtarsk[a],Шахтарськ,Donetsk,48404,59589,−18.77%,ukraine,"Шахтарськ,ukraine","Шахтарськ, Шахтарська міська рада, Донецька область, 86200-86219, Україна","(48.0550423, 38.4459474, 0.0)",48.0550423,38.4459474,0.0
Bilhorod-Dnistrovskyi,Білгород-Дністровський,Odessa,48197,51890,−7.12%,ukraine,"Білгород-Дністровський,ukraine","Білгород-Дністровський, Білгород-Дністровська міська громада, Білгород-Дністровський район, Одеська область, 67700-67719, Україна","(46.1909823, 30.345784, 0.0)",46.1909823,30.345784,0.0
Okhtyrka,Охтирка,Sumy,47216,50399,−6.32%,ukraine,"Охтирка,ukraine","Охтирка, Охтирська міська громада, Охтирський район, Сумська область, 42700-42719, Україна","(50.3115386, 34.8868923, 0.0)",50.3115386,34.8868923,0.0
Myrnohrad,Мирноград,Donetsk,46904,54787,−14.39%,ukraine,"Мирноград,ukraine","Мирноград, Мирноградська міська громада, Покровський район, 85320-85329, Україна","(48.30791, 37.2591, 0.0)",48.30791,37.2591,0.0
Snizhne[a],Сніжне,Donetsk,45966,58496,−21.42%,ukraine,"Сніжне,ukraine","Сніжне, Сніжнянська міська рада, Донецька область, 86500-86579, Україна","(48.0220754, 38.7634612, 0.0)",48.0220754,38.7634612,0.0
Izium,Ізюм,Kharkiv,45884,56114,−18.23%,ukraine,"Ізюм,ukraine","Ізюм, Ізюмська міська громада, Ізюмський район, Харківська область, Україна","(49.1913721, 37.2784125, 0.0)",49.1913721,37.2784125,0.0
Marhanets,Марганець,Dnipropetrovsk,45718,49592,−7.81%,ukraine,"Марганець,ukraine","Марганець, Марганецька міська громада, Нікопольський район, Дніпропетровська область, 53400-53490, Україна","(47.6490555, 34.649194, 0.0)",47.6490555,34.649194,0.0
Rovenky[c],Ровеньки,Luhansk,45651,53725,−15.03%,ukraine,"Ровеньки,ukraine","Ровеньки, Луганська область, 94700, Україна","(48.0897987, 39.368029, 0.0)",48.0897987,39.368029,0.0
Nova Kakhovka,Нова Каховка,Kherson,45069,52611,−14.34%,ukraine,"Нова Каховка,ukraine","Нова Каховка, Новокаховська міська громада, Каховський район, Херсонська область, 74900, Україна","(46.7549303, 33.3741329, 0.0)",46.7549303,33.3741329,0.0
Brianka[c],Брянка,Luhansk,44987,54767,−17.86%,ukraine,"Брянка,ukraine","Брянка, Луганська область, 94100-94190, Україна","(48.5010086, 38.67513384797576, 0.0)",48.5010086,38.67513384797576,0.0
Fastiv,Фастів,Kyiv,44841,51976,−13.73%,ukraine,"Фастів,ukraine","Фастів, Фастівська міська громада, Фастівський район, Київська область, 08500-08509, Україна","(50.0799307, 29.9162821, 0.0)",50.0799307,29.9162821,0.0
Lubny,Лубни,Poltava,44595,52572,−15.17%,ukraine,"Лубни,ukraine","Лубни, Лубенська міська громада, Лубенський район, Полтавська область, 37500-37509, Україна","(50.0118206, 33.0030821, 0.0)",50.0118206,33.0030821,0.0
Svitlovodsk,Світловодськ,Kirovohrad,43931,50094,−12.30%,ukraine,"Світловодськ,ukraine","Світловодськ, Світловодська міська громада, Олександрійський район, Кіровоградська область, 27500, Україна","(49.04537, 33.20721, 0.0)",49.04537,33.20721,0.0
Zhovti Vody,Жовті Води,Dnipropetrovsk,42901,53582,−19.93%,ukraine,"Жовті Води,ukraine","Жовті Води, Жовтоводська міська громада, Кам'янський район, Дніпропетровська область, 52200-52290, Україна","(48.3465174, 33.5027797, 0.0)",48.3465174,33.5027797,0.0
Krasnodon[c],Сорокине (Sorokyne),Luhansk,42582,50560,−15.78%,ukraine,"Сорокине (Sorokyne),ukraine","Краснодон, Луганська область, 94401-94408, Україна","(48.2951439, 39.7296772, 0.0)",48.2951439,39.7296772,0.0
Vyshneve,Вишневе,Kyiv,42840,34465,+24.30%,ukraine,"Вишневе,ukraine","Вишневе, Вишнева міська громада, Бучанський район, Київська область, 08132, Україна","(50.3917497, 30.3678999, 0.0)",50.3917497,30.3678999,0.0
Varash,Вараш,Rivne,42126,38830,+8.49%,ukraine,"Вараш,ukraine","Вараш, Вараська міська громада, Вараський район, Рівненська область, 34400, Україна","(51.3481736, 25.8500623, 0.0)",51.3481736,25.8500623,0.0
Shepetivka,Шепетівка,Khmelnytskyi,40802,48212,−15.37%,ukraine,"Шепетівка,ukraine","Шепетівка, Шепетівська міська громада, Шепетівський район, Хмельницька область, 30400-30409, Україна","(50.1809437, 27.0651783, 0.0)",50.1809437,27.0651783,0.0
Podilsk,Подільськ,Odessa,39662,40718,−2.59%,ukraine,"Подільськ,ukraine","Подільськ, Подільська міська громада, Подільський район, Одеська область, 66314, Україна","(47.7497422, 29.5304957, 0.0)",47.7497422,29.5304957,0.0
Yuzhnoukrainsk,Южноукраїнськ,Mykolaiv,39048,38206,+2.20%,ukraine,"Южноукраїнськ,ukraine","Южноукраїнськ, Южноукраїнська міська громада, Вознесенський район, Миколаївська область, 55000, Україна","(47.824269, 31.1786814, 0.0)",47.824269,31.1786814,0.0
Myrhorod,Миргород,Poltava,38447,42886,−10.35%,ukraine,"Миргород,ukraine","Миргород, Миргородська міська громада, Миргородський район, Полтавська область, 37600, Україна","(49.9658333, 33.6113889, 0.0)",49.9658333,33.6113889,0.0
Romny,Ромни,Sumy,38305,50448,−24.07%,ukraine,"Ромни,ukraine","Ромни, Роменська міська громада, Роменський район, Сумська область, 42000-42019, Україна","(50.74207, 33.4877, 0.0)",50.74207,33.4877,0.0
Pokrov,Покров,Dnipropetrovsk,38111,44834,−15.00%,ukraine,"Покров,ukraine","Покров, Покровська міська громада, Нікопольський район, Дніпропетровська область, 53300-53390, Україна","(47.6546589, 34.1149341, 0.0)",47.6546589,34.1149341,0.0
Volodymyr,Володимир,Volyn,38070,38256,−0.49%,ukraine,"Володимир,ukraine","Володимир, Володимир-Волинська міська громада, Володимир-Волинський район, Волинська область, Україна","(50.84721065, 24.32250662986195, 0.0)",50.84721065,24.32250662986195,0.0
Dzhankoi[b],Джанкой,Crimea,37410,43343,−13.69%,ukraine,"Джанкой,ukraine","Джанкой, Джанкойский городской совет, Автономна Республіка Крим, Україна","(45.7093755, 34.3899131, 0.0)",45.7093755,34.3899131,0.0
Vasylkiv,Васильків,Kyiv,37310,39722,−6.07%,ukraine,"Васильків,ukraine","Васильків, Васильківська міська громада, Обухівський район, Київська область, 08600-08606, Україна","(50.17387, 30.32158, 0.0)",50.17387,30.32158,0.0
Dubno,Дубно,Rivne,37257,39146,−4.83%,ukraine,"Дубно,ukraine","Дубно, Дубенська міська громада, Дубенський район, Рівненська область, Україна","(50.3974013, 25.743323875936717, 0.0)",50.3974013,25.743323875936717,0.0
Bucha,Буча,Kyiv,36971,28533,+29.57%,ukraine,"Буча,ukraine","Буча, Бучанська міська громада, Бучанський район, Київська область, 08292, Україна","(50.5485813, 30.2207143, 0.0)",50.5485813,30.2207143,0.0
Netishyn,Нетішин,Khmelnytskyi,36661,34358,+6.70%,ukraine,"Нетішин,ukraine","Нетішин, Нетішинська міська громада, Шепетівський район, Хмельницька область, 30100, Україна","(50.3338348, 26.6496599, 0.0)",50.3338348,26.6496599,0.0
Pervomaisk[c],Первомайськ,Luhansk,36311,43082,−15.72%,ukraine,"Первомайськ,ukraine","Первомайськ, Первомайська міська громада, Первомайський район, Миколаївська область, 55200-55219, Україна","(48.03579065, 30.864088395090185, 0.0)",48.03579065,30.864088395090185,0.0
Kakhovka,Каховка,Kherson,35400,38238,−7.42%,ukraine,"Каховка,ukraine","Каховка, Каховська міська громада, Каховський район, Херсонська область, 74800, Україна","(46.8054626, 33.4817825, 0.0)",46.8054626,33.4817825,0.0
Boyarka,Боярка,Kyiv,35312,35968,−1.82%,ukraine,"Боярка,ukraine","Боярка, Боярська міська громада, Фастівський район, Київська область, 08150-08157, Україна","(50.3356709, 30.2847595, 0.0)",50.3356709,30.2847595,0.0
Slavuta,Славута,Khmelnytskyi,35068,34340,+2.12%,ukraine,"Славута,ukraine","Славута, Славутська міська громада, Шепетівський район, Хмельницька область, 30000, Україна","(50.2962398, 26.8658254, 0.0)",50.2962398,26.8658254,0.0
Sambir,Самбір,Lviv,34823,36556,−4.74%,ukraine,"Самбір,ukraine","Самбір, Самбірська міська громада, Самбірський район, Львівська область, 81400, Україна","(49.5182487, 23.1969805, 0.0)",49.5182487,23.1969805,0.0
Yasynuvata[a],Ясинувата,Donetsk,34269,37552,−8.74%,ukraine,"Ясинувата,ukraine","Ясинувата, Ясинуватська міська рада, Донецька область, 86000-86015, Україна","(48.1270606, 37.8590172, 0.0)",48.1270606,37.8590172,0.0
Starokostiantyniv,Старокостянтинів,Khmelnytskyi,34232,35206,−2.77%,ukraine,"Старокостянтинів,ukraine","Старокостянтинів, Старокостянтинівська міська громада, Хмельницький район, Хмельницька область, 31100-31109, Україна","(49.756163, 27.2087889, 0.0)",49.756163,27.2087889,0.0
Zhmerynka,Жмеринка,Vinnytsia,34097,37349,−8.71%,ukraine,"Жмеринка,ukraine","Жмеринка, Жмеринська міська громада, Жмеринський район, Вінницька область, 23100-23107, Україна","(49.0354593, 28.1147317, 0.0)",49.0354593,28.1147317,0.0
Voznesensk,Вознесенськ,Mykolaiv,34050,42634,−20.13%,ukraine,"Вознесенськ,ukraine","Вознесенськ, Вознесенська міська громада, Вознесенський район, Миколаївська область, 56500-56518, Україна","(47.5679582, 31.3338636, 0.0)",47.5679582,31.3338636,0.0
Obukhiv,Обухів,Kyiv,33443,32776,+2.04%,ukraine,"Обухів,ukraine","Обухів, Обухівська міська громада, Обухівський район, Київська область, 08700-08705, Україна","(50.1101633, 30.6269696, 0.0)",50.1101633,30.6269696,0.0
Boryslav,Борислав,Lviv,32913,38122,−13.66%,ukraine,"Борислав,ukraine","Борислав, Бориславський старостинський округ, Бориславська міська громада, Дрогобицький район, Львівська область, Україна","(49.288601650000004, 23.41735375217583, 0.0)",49.288601650000004,23.41735375217583,0.0
Yuzhne,Южне,Odessa,32745,23977,+36.57%,ukraine,"Южне,ukraine","Южне, Южненська міська громада, Одеський район, Одеська область, 65481-65489, Україна","(46.6225029, 31.0994897, 0.0)",46.6225029,31.0994897,0.0
Vyshhorod,Вишгород,Kyiv,32396,22933,+41.26%,ukraine,"Вишгород,ukraine","Вишгород, Вишгородська міська громада, Вишгородський район, Київська область, 07300, Україна","(50.5824332, 30.485121, 0.0)",50.5824332,30.485121,0.0
Hlukhiv,Глухів,Sumy,32248,35768,−9.84%,ukraine,"Глухів,ukraine","Глухів, Глухівська міська громада, Шосткинський район, Сумська область, 41400-41409, Україна","(51.67831, 33.9093, 0.0)",51.67831,33.9093,0.0
Avdiivka,Авдіївка,Donetsk,31940,37210,−14.16%,ukraine,"Авдіївка,ukraine","Авдіївка, Авдіївська міська громада, Покровський район, Донецька область, 86060-86075, Україна","(48.1338824, 37.7466719, 0.0)",48.1338824,37.7466719,0.0
Chuhuiv,Чугуїв,Kharkiv,31575,36789,−14.17%,ukraine,"Чугуїв,ukraine","Чугуїв, Чугуївська міська громада, Чугуївський район, Харківська область, Україна","(49.8363648, 36.6898157, 0.0)",49.8363648,36.6898157,0.0
Toretsk,Торецьк,Donetsk,31513,43371,−27.34%,ukraine,"Торецьк,ukraine","Торецьк, Торецька міська громада, Бахмутський район, Донецька область, 85200-85279, Україна","(48.3970469, 37.8501378, 0.0)",48.3970469,37.8501378,0.0
Novoiavorivsk,Новояворівськ,Lviv,31280,26483,+18.11%,ukraine,"Новояворівськ,ukraine","Новояворівськ, Новояворівська міська громада, Яворівський район, Львівська область, 81054, Україна","(49.9316152, 23.5661291, 0.0)",49.9316152,23.5661291,0.0
Kostopil,Костопіль,Rivne,31060,30467,+1.95%,ukraine,"Костопіль,ukraine","Костопіль, Костопільська міська громада, Рівненський район, Рівненська область, 35000-35008, Україна","(50.88283, 26.4513, 0.0)",50.88283,26.4513,0.0
Alushta[b],Алушта,Crimea,30194,31440,−3.96%,ukraine,"Алушта,ukraine","Алушта, Алуштинский городской совет, Республика Крым, Україна","(44.677112, 34.4095393, 0.0)",44.677112,34.4095393,0.0
Mohyliv-Podilskyi,Могилів-Подільський,Vinnytsia,30186,32853,−8.12%,ukraine,"Могилів-Подільський,ukraine","Могилів-Подільський, Могилів-Подільська міська громада, Могилів-Подільський район, Вінницька область, 24000-24004, Україна","(48.442544, 27.7991124, 0.0)",48.442544,27.7991124,0.0
Tokmak,Токмак,Zaporizhzhia,30132,36275,−16.93%,ukraine,"Токмак,ukraine","Токмак, Токмацька міська громада, Пологівський район, Запорізька область, 71700, Україна","(47.2557432, 35.7021159, 0.0)",47.2557432,35.7021159,0.0
Synelnykove,Синельникове,Dnipropetrovsk,30021,32302,−7.06%,ukraine,"Синельникове,ukraine","Синельникове, Синельниківська міська громада, Синельниківський район, Дніпропетровська область, 52500-52507, Україна","(48.3269304, 35.5246984, 0.0)",48.3269304,35.5246984,0.0
Pervomaiskyi,Первомайський,Kharkiv,28986,32523,−10.88%,ukraine,"Первомайський,ukraine","Первомайський, Первомайська міська громада, Лозівський район, Харківська область, 64100-64109, Україна","(49.37393, 36.22089, 0.0)",49.37393,36.22089,0.0
Sarny,Сарни,Rivne,28865,28144,+2.56%,ukraine,"Сарни,ukraine","Сарни, Сарненська міська громада, Сарненський район, Рівненська область, Україна","(51.3350028, 26.6171275, 0.0)",51.3350028,26.6171275,0.0
Dobropillia,Добропілля,Donetsk,28757,35638,−19.31%,ukraine,"Добропілля,ukraine","Добропілля, Добропільська міська громада, Покровський район, Донецька область, 85000-85009, Україна","(48.4683035, 37.0903243, 0.0)",48.4683035,37.0903243,0.0
Truskavets,Трускавець,Lviv,28474,31037,−8.26%,ukraine,"Трускавець,ukraine","Трускавець, Трускавецька міська громада, Дрогобицький район, Львівська область, 82200, Україна","(49.2783459, 23.5064459, 0.0)",49.2783459,23.5064459,0.0
Chortkiv,Чортків,Ternopil,28393,29057,−2.29%,ukraine,"Чортків,ukraine","Чортків, Чортківська міська громада, Чортківський район, Тернопільська область, 48500-48509, Україна","(49.0160555, 25.7925191, 0.0)",49.0160555,25.7925191,0.0
Khust,Хуст,Zakarpattia,28206,29080,−3.01%,ukraine,"Хуст,ukraine","Хуст, Хустська міська громада, Хустський район, Закарпатська область, 90400, Україна","(48.1764917, 23.291166, 0.0)",48.1764917,23.291166,0.0
Novyi Rozdil,Новий розділ,Lviv,28081,28227,−0.52%,ukraine,"Новий розділ,ukraine","Новий Розділ, Новороздільська міська громада, Стрийський район, Львівська область, 81652, Україна","(49.4696071, 24.1386133, 0.0)",49.4696071,24.1386133,0.0
Pershotravensk,Першотравенськ,Dnipropetrovsk,27573,29140,−5.38%,ukraine,"Першотравенськ,ukraine","Першотравенськ, Першотравенська міська громада, Синельниківський район, Дніпропетровська область, 52800-52899, Україна","(48.3505864, 36.402296, 0.0)",48.3505864,36.402296,0.0
