titles,descriptions,links,pubDates
"Live Ukraine Updates: Calling Off Steel Plant Assault, Putin Prematurely Claims Victory in Mariupol ","Russia's president said he would blockade rather than storm the Mariupol factory where Ukrainian forces were holding out, but a soldier in the plant said shelling continued. President Biden said the U.S. was sending more weapons to help Kyiv. ",https://www.nytimes.com/live/2022/04/21/world/ukraine-russia-war-news ,"Fri, 22 Apr 2022 00:44:35 +0000 "
Macron and Le Pen Trade Punches in Pivotal French Election Debate ,He attacked the far-right leader as a Putin stooge. She hit back at him as the president of division and contempt. ,https://www.nytimes.com/2022/04/20/world/europe/macron-le-pen-france-election-debate.html ,"Thu, 21 Apr 2022 18:20:54 +0000 "
This Spanish Village Has More Booksellers Than School Pupils ,"Urueña, in northwestern Spain, has fought depopulation by reinventing itself as a literary hub. The full-time population is still just 100, but there are 11 shops selling books. ",https://www.nytimes.com/2022/04/21/world/europe/uruena-spain-book-hub.html ,"Thu, 21 Apr 2022 09:00:55 +0000 "
Gazan Militants and Israeli Air Force Exchange Fire ,"The flare-up followed a rise in tensions over holy places in Jerusalem and a deadly wave of Arab attacks in Israel, answered by a lethal Israeli crackdown in the occupied West Bank. ",https://www.nytimes.com/2022/04/21/world/middleeast/israel-gaza-rocket-fire.html ,"Thu, 21 Apr 2022 18:03:26 +0000 "
Explosion at Afghan Mosque Kills at Least 10 ,"The blast in Mazar-i-Sharif, one of Afghanistan's economic hubs, was the latest in a series of attacks on one of its religious minorities and was claimed by an ISIS affiliate. ",https://www.nytimes.com/2022/04/21/world/asia/afghanistan-mosque-bombing.html ,"Thu, 21 Apr 2022 18:04:13 +0000 "
How Hated Is Macron? It Could Decide the French Election. ,"Given the choice between a president they suspect of despising ordinary people and a far-right candidate they detest, many French voters may stay home. ",https://www.nytimes.com/2022/04/20/world/europe/france-macron-unpopular.html ,"Wed, 20 Apr 2022 23:37:47 +0000 "
S​outh Korea's Supreme Court ​Issues Landmark Ruling on Gay Sex ,​The court said that the military should not punish consensual sex acts that had taken place in a nonmilitary setting. ,https://www.nytimes.com/2022/04/21/world/asia/south-korea-gay-sex-military.html ,"Thu, 21 Apr 2022 13:46:27 +0000 "
Why China's Security Pact With the Solomon Islands is a Threat ,"In potentially opening the door to a Chinese military base, the Solomon Islands threatens the balance of power in a vital shipping region. ",https://www.nytimes.com/2022/04/20/world/australia/china-solomon-islands-security-pact.html ,"Wed, 20 Apr 2022 17:17:40 +0000 "
U.K. Court Order Moves Assange Closer to Extradition ,"The court formally ordered the extradition of the WikiLeaks founder to the United States, but it still needs approval from a British cabinet minister and his defense can appeal to her directly. ",https://www.nytimes.com/2022/04/20/world/europe/assange-uk-extradition.html ,"Wed, 20 Apr 2022 16:14:49 +0000 "
"Deep in Colombia, Rebels and Soldiers Fight for the Same Prize: Drugs ",The country signed a historic peace deal more than five years ago. But a power vacuum is fueling the rise of new armed groups competing to control the drug trade. ,https://www.nytimes.com/2022/04/20/world/americas/colombia-comandos-armed-groups.html ,"Wed, 20 Apr 2022 14:16:53 +0000 "
"France's Presidential Election 2022: Your Runoff Questions, Answered ","President Emmanuel Macron will face Marine Le Pen, the far-right leader, in the runoff on Sunday. The outcome will be crucial for France and reverberate globally. ",https://www.nytimes.com/article/france-presidential-election-2022.html ,"Thu, 21 Apr 2022 14:03:49 +0000 "
Housing Crisis Propels High Death Toll in South Africa Floods ,The catastrophe underscored an overlooked reality in the fight against extreme weather: Protecting people is as much about tackling social issues as environmental ones. ,https://www.nytimes.com/2022/04/20/world/africa/south-africa-floods-climate-change-housing.html ,"Wed, 20 Apr 2022 16:17:15 +0000 "
6 Rohingya Refugees Are Killed Fleeing Detention Center in Malaysia ,"In recent years, the Malaysian government has taken a more hard-line approach to the refugees in the country, which once offered a modicum of opportunity. ",https://www.nytimes.com/2022/04/20/world/asia/rohingya-refugees-malaysia-deaths.html ,"Wed, 20 Apr 2022 09:30:31 +0000 "
He Was a Penniless Donor to the Far Right. He Was Also a Russian Spy. ,An investigation in Slovakia has exposed how Russian clandestine operations are trying to sow discord in Europe and create sympathy for Moscow over Ukraine. ,https://www.nytimes.com/2022/04/20/world/europe/russian-spies-europe-ukraine.html ,"Thu, 21 Apr 2022 10:21:13 +0000 "
"Putin Claims Victory in Mariupol, Calling Off Steel Plant Assault ","With casualties mounting and progress slow in his war on Ukraine, Vladimir V. Putin is eager to present it to the Russian people as a success. ",https://www.nytimes.com/2022/04/21/world/europe/putin-mariupol-steel-plant.html ,"Thu, 21 Apr 2022 23:45:19 +0000 "
"Next Phase of War Will Be Pivotal for Russia and Ukraine, U.S. Says ","Reflecting a renewed sense of urgency, President Biden announced that the United States would send the Ukrainians $800 million more in military aid. ",https://www.nytimes.com/2022/04/21/us/politics/russia-ukraine-military-biden.html ,"Fri, 22 Apr 2022 00:29:56 +0000 "
Your Friday Briefing: Putin's Defensive Speech ,"The Russian leader claimed victory in Mariupol, despite Ukrainian resistance. ",https://www.nytimes.com/2022/04/21/briefing/putin-mariupol-russia-ukraine.html ,"Thu, 21 Apr 2022 21:10:38 +0000 "
US Braces for Potential French Election Shockwave ,An upset victory by the right-wing nationalist Marine Le Pen in the presidential election on Sunday could scramble President Biden's foreign policy. ,https://www.nytimes.com/2022/04/21/us/politics/france-election-biden.html ,"Thu, 21 Apr 2022 21:13:07 +0000 "
What to Know About the Weapons Being Sent to Ukraine ,The Biden administration is sending dozens of howitzers and 120 drones in the latest $800 million package of military aid. ,https://www.nytimes.com/2022/04/21/world/europe/us-weapons-ukraine.html ,"Thu, 21 Apr 2022 20:09:49 +0000 "
Mikhail Vasenkov Dies at 79; His Spy Ring Inspired 'The Americans' ,He and his wife were among 10 Soviet sleeper agents who blended into American society before being exposed and deported in 2010. The TV series sprung from the episode. ,https://www.nytimes.com/2022/04/21/world/europe/mikhail-vasenkov-dead.html ,"Thu, 21 Apr 2022 20:19:33 +0000 "
Biden Announces $800 Million in Military Aid and Questions Russia's Hold of Mariupol ,President Biden said President Vladimir V. Putin of Russia would “never succeed in dominating” Ukraine. ,https://www.nytimes.com/2022/04/21/world/europe/biden-ukraine-aid.html ,"Thu, 21 Apr 2022 19:15:43 +0000 "
US Is Extending Vaccine Rule for International Travelers at Land Borders ,"Unlike air travelers entering the United States, land and ferry travelers will still not have to show a recent negative coronavirus test to cross the border. ",https://www.nytimes.com/2022/04/21/us/politics/us-vaccine-international-land-borders.html ,"Thu, 21 Apr 2022 18:16:41 +0000 "
Perils of Invisible Government ,The American Rescue Plan is huge and yet little noticed. ,https://www.nytimes.com/2022/04/21/briefing/biden-invisible-government-american-rescue-plan.html ,"Thu, 21 Apr 2022 12:13:22 +0000 "
"With Moskva Warship Sunken, Russia Disinformation Faces a Test ",Families of missing crew members say the Russian authorities are giving them the runaround after a flagship sank last week in the Black Sea. ,https://www.nytimes.com/2022/04/21/world/europe/russia-moskva-warship-disinformation.html ,"Thu, 21 Apr 2022 23:19:23 +0000 "
Kangaroos in India? Experts See Evidence of a Smuggling Trade ,"The animals are the latest exotic fauna to be smuggled into the country, possibly to be used as pets. Draft legislation would close loopholes in the roaring wildlife trade. ",https://www.nytimes.com/2022/04/21/world/asia/india-kangaroos-smuggling-west-bengal.html ,"Thu, 21 Apr 2022 06:51:41 +0000 "
Your Thursday Briefing ,A Russian missile test with a message. ,https://www.nytimes.com/2022/04/21/briefing/russia-missile-macron-election.html ,"Thu, 21 Apr 2022 04:52:51 +0000 "
"See Mariupol's Azovstal Steel-Mill Fortress Before the War, and Now ","Before-and-after images show the scale of destruction that the Ukrainian port city has suffered after nearly two months of near constant bombardment by Russian artillery, mortars and airstrikes. ",https://www.nytimes.com/2022/04/20/world/europe/mariupol-azovstal-steel-mill.html ,"Thu, 21 Apr 2022 12:38:07 +0000 "
Russia Tests ICBM and Pounds Ukraine's Defenses Ahead of Major Assault ,"Vladimir Putin said Russia's test-firing of its new I.C.B.M. sends a message, as his forces prepare for a broad offensive in eastern Ukraine. ",https://www.nytimes.com/2022/04/20/world/europe/russia-icbm-ukraine-bombardment.html ,"Thu, 21 Apr 2022 01:42:12 +0000 "
Russia's Missile Test Fuels U.S. Fears of an Isolated Putin ,American and foreign leaders have been weighing whether their success in making Russia a diplomatic pariah could push President Vladimir V. Putin to strike in new ways. ,https://www.nytimes.com/2022/04/20/us/politics/russia-putin-missile-test.html ,"Thu, 21 Apr 2022 03:39:35 +0000 "
What Mariupol's Steel Fortress Looked Like 3 Months Ago ,"On Jan. 20, The New York Times captured drone video over the sprawling Azovstal Steel and Iron works complex in Mariupol, Ukraine. Now, it is a battered fortress for the last Ukrainian defenders. ",https://www.nytimes.com/video/world/europe/100000008312362/mariupol-azovstal-ukraine-war.html ,"Thu, 21 Apr 2022 22:14:37 +0000 "
"People Should Keep Wearing Masks in Public, W.H.O. Officials Say ","Masks have been proven to be highly effective at reducing coronavirus transmission when used properly, according to the W.H.O. ",https://www.nytimes.com/2022/04/20/world/americas/covid-masks-who.html ,"Thu, 21 Apr 2022 22:01:30 +0000 "
"Rosario Ibarra de Piedra, 95, Dies; Fought for Mexico's 'Disappeared' ","When her son vanished in 1975, she began a crusade on behalf of him and hundreds of others and became a voice of moral authority on the left. ",https://www.nytimes.com/2022/04/20/world/americas/rosario-ibarra-dead.html ,"Thu, 21 Apr 2022 04:43:51 +0000 "
Your Thursday Briefing: Russia Threatens Escalation ,Plus the emergence of armed militias in Colombia and questions over China's Covid death toll. ,https://www.nytimes.com/2022/04/20/briefing/russia-missile-test-china-covid-cases.html ,"Wed, 20 Apr 2022 20:49:57 +0000 "
"Residents in Avdiivka, Ukraine Go Underground as Russia's Assault on East Ramps Up ","As Ukrainian forces dig into trenches and residents flee into basements, Russia's artillery attacks have intensified. “They can't get through the front lines and so they're starting simply to destroy the city,” a Ukrainian official said. ",https://www.nytimes.com/2022/04/20/world/europe/avdiivka-ukraine-russia.html ,"Thu, 21 Apr 2022 08:12:16 +0000 "
