titles,descriptions,links,pubDates
"Live Updates: Warning Ukraine's Friends to 'Think Twice,' Putin Tests Advanced Missile ",Russia's Defense Ministry said the weapon needed more testing before it could be deployed. Ukrainian officials said they were pushing back at Moscow's offensive in the east. ,https://www.nytimes.com/live/2022/04/20/world/ukraine-russia-war-donbas ,"Thu, 21 Apr 2022 02:55:45 +0000 "
He Was a Penniless Donor to the Far Right. He Was Also a Russian Spy. ,An investigation in Slovakia has exposed how Russian clandestine operations are trying to sow discord in Europe and create sympathy for Moscow over Ukraine. ,https://www.nytimes.com/2022/04/20/world/europe/russian-spies-europe-ukraine.html ,"Wed, 20 Apr 2022 23:49:36 +0000 "
"Deep in Colombia, Rebels and Soldiers Fight for the Same Prize: Drugs ",The country signed a historic peace deal more than five years ago. But a power vacuum is fueling the rise of new armed groups competing to control the drug trade. ,https://www.nytimes.com/2022/04/20/world/americas/colombia-comandos-armed-groups.html ,"Wed, 20 Apr 2022 14:16:53 +0000 "
Housing Crisis Propels High Death Toll in South Africa Floods ,The catastrophe underscored an overlooked reality in the fight against extreme weather: Protecting people is as much about tackling social issues as environmental ones. ,https://www.nytimes.com/2022/04/20/world/africa/south-africa-floods-climate-change-housing.html ,"Wed, 20 Apr 2022 16:17:15 +0000 "
How Hated Is Macron? It Could Decide the French Election. ,"Given the choice between a president they suspect of despising ordinary people and a far-right candidate they detest, many French voters may stay home. ",https://www.nytimes.com/2022/04/20/world/europe/france-macron-unpopular.html ,"Wed, 20 Apr 2022 23:37:47 +0000 "
"The U.S. Races to Arm Ukraine With Heavier, More Advanced Weaponry ",Washington and its allies are scouring Central Europe and the world to get Ukraine the weapons it needs for the next phase of the war. ,https://www.nytimes.com/2022/04/19/world/europe/us-ukraine-weaponry.html ,"Wed, 20 Apr 2022 00:43:59 +0000 "
Why China's Security Pact With the Solomon Islands is a Threat ,"In potentially opening the door to a Chinese military base, the Solomon Islands threatens the balance of power in a vital shipping region. ",https://www.nytimes.com/2022/04/20/world/australia/china-solomon-islands-security-pact.html ,"Wed, 20 Apr 2022 17:17:39 +0000 "
6 Rohingya Refugees Are Killed Fleeing Detention Center in Malaysia ,"In recent years, the Malaysian government has taken a more hard-line approach to the refugees in the country, which once offered a modicum of opportunity. ",https://www.nytimes.com/2022/04/20/world/asia/rohingya-refugees-malaysia-deaths.html ,"Wed, 20 Apr 2022 09:30:31 +0000 "
Shanghai's Low Covid Death Toll Revives Questions About China's Numbers ,"The country's largest city has recorded just 17 Covid deaths, despite surging cases. How China defines a Covid death may be part of the reason. ",https://www.nytimes.com/2022/04/20/world/asia/covid-shanghai-china-deaths.html ,"Wed, 20 Apr 2022 21:24:13 +0000 "
U.K. Court Order Moves Assange Closer to Extradition ,"The court formally ordered the extradition of the WikiLeaks founder to the United States, but it still needs approval from a British cabinet minister and his defense can appeal to her directly. ",https://www.nytimes.com/2022/04/20/world/europe/assange-uk-extradition.html ,"Wed, 20 Apr 2022 16:14:49 +0000 "
Prince Harry Puts Noses Out of Joint With Comments About the Queen ,"The prince, in Europe for the Invictus Games, visited his grandmother then told the “Today” show that he wanted to make sure “she's protected.” ",https://www.nytimes.com/2022/04/20/world/europe/prince-harry-queen-elizabeth-royal-family-britain.html ,"Wed, 20 Apr 2022 17:00:15 +0000 "
"Star Ferry, 'Emblem of Hong Kong,' May Sail Into History After 142 Years ","Launched in 1880, the ferry has witnessed both Hong Kong's transformation into a global financial hub and its history of protests. But battered by a pandemic, the service is struggling to survive. ",https://www.nytimes.com/2022/04/19/world/asia/hong-kong-star-ferry.html ,"Thu, 21 Apr 2022 03:04:52 +0000 "
Johnson Is All Apologies Before Parliament After 'Partygate' Fine ,"Though opposition politicians called him out, only one member of his own Conservative party called on him to resign. ",https://www.nytimes.com/2022/04/19/world/europe/boris-johnson-parliament-apologies.html ,"Tue, 19 Apr 2022 19:59:24 +0000 "
Macron and Le Pen Trade Punches in Pivotal French Election Debate ,He attacked the far-right leader as a Putin stooge. She hit back at him as the president of division and contempt. ,https://www.nytimes.com/2022/04/20/world/europe/macron-le-pen-france-election-debate.html ,"Thu, 21 Apr 2022 01:27:52 +0000 "
"See Mariupol's Azovstal Steel-Mill Fortress Before the War, and Now ","Before-and-after images show the scale of destruction that the Ukrainian port city has suffered after nearly two months of near constant bombardment by Russian artillery, mortars and airstrikes. ",https://www.nytimes.com/2022/04/20/world/europe/mariupol-azovstal-steel-mill.html ,"Thu, 21 Apr 2022 02:18:45 +0000 "
Russia Tests ICBM and Pounds Ukraine's Defenses Ahead of Major Assault ,"Vladimir Putin said Russia's test-firing of its new I.C.B.M. sends a message, as his forces prepare for a broad offensive in eastern Ukraine. ",https://www.nytimes.com/2022/04/20/world/europe/russia-icbm-ukraine-bombardment.html ,"Thu, 21 Apr 2022 01:42:11 +0000 "
Russia's Missile Test Fuels U.S. Fears of an Isolated Putin ,American and foreign leaders have been weighing whether their success in making Russia a diplomatic pariah could push President Vladimir V. Putin to strike in new ways. ,https://www.nytimes.com/2022/04/20/us/politics/russia-putin-missile-test.html ,"Thu, 21 Apr 2022 01:54:50 +0000 "
