titles,descriptions,links,pubDates
 Man in Germany declared official suspect in McCann disappearance case, German authorities declared the man an official suspect in the disappearance of a British toddler in 2007 in Portugal. The convicted child abuser and drug trader was identified as a potential suspect in 2020., https://www.dw.com/en/man-in-germany-declared-official-suspect-in-mccann-disappearance-case/a-61552349?maca=en-rss-en-all-1573-rdf, 2022-04-22T00:34:00Z
 Extradited Honduran ex-President Hernandez on plane to US, The US Department of Justice said it had charged former Honduran President Juan Orlando Hernandez with participation in a cocaine-importation conspiracy and firearms offenses., https://www.dw.com/en/extradited-honduran-ex-president-hernandez-on-plane-to-us/a-61551954?maca=en-rss-en-all-1573-rdf, 2022-04-21T22:43:00Z
 Disney to lose special tax status in Florida after LGBTQ bill controversy," A new bill could scrap Disney's self-governing status in its Orlando theme park, following the company's criticism of legislation that limits discussions on sexual orientation and gender identity in schools.", https://www.dw.com/en/disney-to-lose-special-tax-status-in-florida-after-lgbtq-bill-controversy/a-61551992?maca=en-rss-en-all-1573-rdf, 2022-04-21T22:22:00Z
 Beirut blast suspect arrested in Spain, Jorge Moreira has been charged with terrorism and murder in Lebanon over his role in bringing ammonium nitrate explosives into the country. The August 2020 blast killed over 200 people and devastated entire suburbs., https://www.dw.com/en/beirut-blast-suspect-arrested-in-spain/a-61550372?maca=en-rss-en-all-1573-rdf, 2022-04-21T18:22:00Z
 Why is Donbas so important for Russia?, The Russian army has regrouped and is concentrating its attacks on eastern Ukraine. So why exactly is Russian President Vladimir Putin interested in Luhansk and Donetsk?, https://www.dw.com/en/why-is-donbas-so-important-for-russia/a-61547512?maca=en-rss-en-all-1573-rdf, 2022-04-21T16:47:00Z
 Germany plans workaround for arms deliveries to Ukraine," Berlin is working on a three-way swap via Slovenia that would see heavy equipment sent to Ukraine. However, criticism of the government's lack of clarity continues — including from within its own ranks.", https://www.dw.com/en/germany-plans-workaround-for-arms-deliveries-to-ukraine/a-61547233?maca=en-rss-en-all-1573-rdf, 2022-04-21T16:34:00Z
 German oil and gas: A key side actor in Russian energy saga," As Germany looks to ditch Russian oil and gas for good, what role can the country's domestic energy industry play? We search for clues in a village where the German oil industry was born.", https://www.dw.com/en/german-oil-and-gas-a-key-side-actor-in-russian-energy-saga/a-61545432?maca=en-rss-en-all-1573-rdf, 2022-04-21T16:14:00Z
 Elon Musk says he has $46.5 billion for Twitter takeover bid," The billionaire entrepreneur says he has secured $46.5 billion in financing for his bid to take over the social media giant Twitter. The Tesla and SpaceX owner says he is ""exploring whether to commence a tender offer.""", https://www.dw.com/en/elon-musk-says-he-has-46-5-billion-for-twitter-takeover-bid/a-61547494?maca=en-rss-en-all-1573-rdf, 2022-04-21T16:02:00Z
 UK lawmakers back contempt probe into PM Boris Johnson," Prime Minister Boris Johnson is accused of lying to parliament about breaking coronavirus restrictions during the pandemic. He denies deliberately misleading lawmakers, which is a resigning matter.", https://www.dw.com/en/uk-lawmakers-back-contempt-probe-into-pm-boris-johnson/a-61548754?maca=en-rss-en-all-1573-rdf, 2022-04-21T15:56:00Z
" Colombia must stop activities in Nicaraguan maritime zone, says UN court"," In a long-standing battle over maritime borders, the ICJ has reprimanded Colombia for violating Nicaragua's sovereign rights. Managua has already scored a major victory over Bogota at the court over the issue.", https://www.dw.com/en/colombia-must-stop-activities-in-nicaraguan-maritime-zone-says-un-court/a-61542377?maca=en-rss-en-all-1573-rdf, 2022-04-21T15:28:00Z
 Opinion: Wimbledon's ban punishes the wrong people," Wimbledon has announced that players from Russia and Belarus are to be excluded this year. While it's right to take a stand against the war on Ukraine, this is the wrong way of going about it, says DW's David Vorholt.", https://www.dw.com/en/opinion-wimbledon-s-ban-punishes-the-wrong-people/a-61546618?maca=en-rss-en-all-1573-rdf, 2022-04-21T15:00:00Z
 Can advertising reverse Netflix's growth slowdown?, Losing subscribers for the first time in a decade and intense competition from other streaming platforms seem to add pressure on the company to adjust its business model., https://www.dw.com/en/can-advertising-reverse-netflix-s-growth-slowdown/a-61545700?maca=en-rss-en-all-1573-rdf, 2022-04-21T14:22:00Z
 When capitalism and Indigenous rights collide, A legal dispute involving retail giant Amazon and Indigenous South Africans has highlighted a global dilemma: Are sacred sites more important than job creation? Indigenous groups have been fighting back., https://www.dw.com/en/when-capitalism-and-indigenous-rights-collide/a-61536115?maca=en-rss-en-all-1573-rdf, 2022-04-21T14:21:00Z
 Solomon Islands: What does the security pact with China entail?," A Pacific analyst and former Australian diplomat to the Solomon Islands tells DW that Beijing's deal with Honiara ""proves China's strategic ambitions go far beyond economic cooperation with Pacific Island countries.""", https://www.dw.com/en/solomon-islands-what-does-the-security-pact-with-china-entail/a-61539428?maca=en-rss-en-all-1573-rdf, 2022-04-21T14:08:00Z
 France elections: What would a Le Pen victory mean for India?, The outcome of the French presidential election could have an impact on the future of the EU's Indo-Pacific ambitions and regional trade., https://www.dw.com/en/france-elections-what-would-a-le-pen-victory-mean-for-india/a-61539436?maca=en-rss-en-all-1573-rdf, 2022-04-21T13:23:00Z
 German Foreign Minister Baerbock begins Baltic tour with promise of stronger support, Russia's invasion of Ukraine is dominating the agenda of Annalena Baerbock's three-day trip to the Baltic states. She said Germany had already sent weapons to Ukraine that were not announced publicly., https://www.dw.com/en/german-foreign-minister-baerbock-begins-baltic-tour-with-promise-of-stronger-support/a-61519339?maca=en-rss-en-all-1573-rdf, 2022-04-21T12:22:00Z
 Tensions increase between Taliban and Pakistan over attacks," Observers say the governments will need to negotiate a peace agreement, despite a slew of failed talks.", https://www.dw.com/en/tensions-increase-between-taliban-and-pakistan-over-attacks/a-61535921?maca=en-rss-en-all-1573-rdf, 2022-04-21T12:20:00Z
